Producto;Precio unidad;Stock;Descripción
Atenea Bronze barra Colletion;44.000;160;Barra de bronceado de la colección Atenea que proporciona un brillo natural y radiante a la piel. Ideal para resaltar y contornear el rostro.  
Atenea Bronze Compacto Sublime;36.000;100;Bronceador compacto de la colección Atenea, diseñado para un acabado uniforme y duradero. Perfecto para un look soleado y saludable.  
Paleta Contorno e iluminador Glam;48.000;125;Paleta multifuncional que incluye tonos para contorno e iluminador, permitiendo definir y resaltar los rasgos del rostro con un acabado profesional.  
Matte Bronze 1st scene;52.000;80;Bronceador en polvo mate de la colección 1st Scene, ideal para un acabado natural y sin brillo, perfecto para esculpir y definir el rostro.  
Rubor duo crema y compacto;50.000;135;Rubor dúo que combina la textura cremosa con la compacta, proporcionando un acabado versátil y duradero. Perfecto para un look fresco y natural.  
Rubor compacto 1st scene;30.000;80;Rubor compacto de la colección 1st Scene, ofrece un color vibrante y de larga duración, ideal para un toque de color en las mejillas.  
Rubor Nacarado compact sublie;28.000;100;Rubor compacto con acabado nacarado de la colección Sublime, añade un toque de brillo y luminosidad a las mejillas para un look radiante.  
Paleta de robures Glam;36.000;125;Paleta que incluye una variedad de tonos de rubor, ideal para crear diferentes looks y añadir color y vitalidad al rostro.  
Iluminador efecto humedo sublime;36.000;100;Iluminador de la colección Sublime con efecto húmedo, proporciona un brillo natural y radiante, perfecto para resaltar las áreas clave del rostro.  
Iluminador Compacto 1st scene;30.000;80;Iluminador compacto de la colección 1st Scene, ofrece un brillo intenso y duradero, ideal para un acabado luminoso y resplandeciente.  
Iluminador cremoso en barra colletion;44.000;160;Iluminador en barra de textura cremosa, fácil de aplicar y mezclar, perfecto para un brillo natural y sutil.  
Iluminador suelto atemporal ;38.000;50;Iluminador en polvo suelto de la colección Atemporal, ofrece un brillo delicado y modulable, perfecto para cualquier ocasión.  
Polvo suelto tranlucido 1st scene;66.000;80;Polvo suelto translúcido de la colección 1st Scene, fija el maquillaje y controla el brillo, proporcionando un acabado suave y mate.  
Polco compacto 1st scene;40.000;80;Polvo compacto de la colección 1st Scene, ofrece una cobertura ligera y natural, ideal para retocar y mantener un acabado impecable durante todo el día.  
Polvo suelto rosado 1st scene ;36.000;86;Polvo suelto rosado de la colección 1st Scene, añade un toque de color y luminosidad al rostro, perfecto para un acabado fresco y radiante.  
Lips Gloss 1st scene ;40.000;80;Gloss labial de la colección 1st Scene, ofrece un brillo intenso y duradero, manteniendo los labios hidratados y con un aspecto voluminoso.  
Lapiz delineador color pencil;12.000;100;Lápiz delineador de alta precisión, disponible en varios colores, ideal para definir y resaltar la forma de los ojos con un trazo suave y duradero.  
Lip blam- Hidratante para labios ;30.000;100;Bálsamo labial hidratante, proporciona una nutrición intensa y duradera, manteniendo los labios suaves y protegidos.  
Lip Duo lipstick y Gloss Colletion;30.000;160;Dúo de labial y gloss de la colección, combina color e hidratación en un solo producto, ideal para un look completo y sofisticado.  
Kit brochas maquillaje silver ;180.000;80;Kit de brochas de maquillaje en tono plateado, incluye una variedad de brochas de alta calidad, perfectas para aplicar y difuminar maquillaje de manera profesional.
Kit Brochas Naked;140.000;80;Kit de brochas de la colección Naked, ofrece una selección de brochas esenciales para un maquillaje perfecto y sin esfuerzo.